Abbreviation,State,Population
AL,Alabama,5039877
AK,Alaska,732673
AZ,Arizona,7276316
AR,Arkansas,3025891
CA,California,39237836
CO,Colorado,5812069
CT,Connecticut,3605597
DE,Delaware,1003384
DC,District of Columbia,670050
FL,Florida,21781128
GA,Georgia,10799566
HI,Hawaii,1441553
ID,Idaho,1900923
IL,Illinois,12671469
IN,Indiana,6805985
IA,Iowa,3193079
KS,Kansas,2934582
KY,Kentucky,4509394
LA,Louisiana,4624047
ME,Maine,1372247
MD,Maryland,6165129
MA,Massachusetts,6984723
MI,Michigan,10050811
MN,Minnesota,5707390
MS,Mississippi,2949965
MO,Missouri,6168187
MT,Montana,1104271
NE,Nebraska,1963692
NV,Nevada,3143991
NH,New Hampshire,1388992
NJ,New Jersey,9267130
NM,New Mexico,2115877
NY,New York,19835913
NC,North Carolina,10551162
ND,North Dakota,774948
OH,Ohio,11780017
OK,Oklahoma,3986639
OR,Oregon,4246155
PA,Pennsylvania,12964056
RI,Rhode Island,1095610
SC,South Carolina,5190705
SD,South Dakota,895376
TN,Tennessee,6975218
TX,Texas,29527941
UT,Utah,3337975
VT,Vermont,645570
VA,Virginia,8642274
WA,Washington,7738692
WV,West Virginia,1782959
WI,Wisconsin,5895908
WY,Wyoming,578803
